Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
,General,,,,,,,,,,,,,,,,,,,,,,,,
(Group)160593,Family History,160593,160593,7074,160593,,,,,,,,,,,,,,,,,,,,
984,Preventive Services,984,984,984,984,,,,,,,,,,,,,,,,,,,,
984,Tetanus toxoid,84879,84879,10957,84879,,,,,,,,,,,,,,,,,,,,
984,Malaria prophylaxis ,159610,159610,6338,159610,,,,,,,,,,,,,,,,,,,,
984,Iron folate,104677,104677,9497,104677,,,,,,,,,,,,,,,,,,,,
984,Mebendazole,79413,79413,244,79413,,,,,,,,,,,,,,,,,,,,
984,Bednet,160428,160428,2354,160428,,,,,,,,,,,,,,,,,,,,
1418,Sequence No.,1418,1418,10485,1418,,,,,,,,,,,,,,,,,,,,
1410,Date,1410,1410,10958,1410,,,,,,,,,,,,,,,,,,,,
161011,Comment,161011,161011,9467,161011,,,,,,,,,,,,,,,,,,,,
5096,Next vaccine date ,5096,5096,5096,5096,,,,,,,,,,,,,,,,,,,,
