Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
,Psychosocial screening questions,,,,,,,,,,,,,,,,,,,,,,,,
1729,Understands the nature of HIV infection and benefits of ART,1729,1729,7014,1729,,,,,,,,,,,,,,,,,,,,
1729,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
1729,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
160246,"Has screened negative for alcohol or other drug use disorder, or is stable on treatment",160246,160246,10835,160246,,,,,,,,,,,,,,,,,,,,
160246,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
160246,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
159891,"Has screened negative for depression or other psychiatric illness, or is stable on treatment",159891,159891,2183,159891,,,,,,,,,,,,,,,,,,,,
159891,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
159891,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
1048,"Is willing to disclose/has disclosed HIV status, ideally to a family member or close friend?",1048,1048,1048,1048,,,,,,,,,,,,,,,,,,,,
1048,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
1048,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
164425,Has received demonstration of how to take/administer ART and other prescribed medication?,164425,,9771,,Wrong concept used here ,,,,,,,,,,,,,,,,,,,
164425,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
164425,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
121764,Has received information on predictable side effects of ART and understands what steps to take in case of these side effects?,121764,121764,1664,121764,,,,,,,,,,,,,,,,,,,,
121764,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
121764,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
5619,"For patients dependent on a caregiver: caregiver is committed to long-term support of the patient, daily administration of ART, and meets the criteria above?",5619,5619,5619,5619,,,,,,,,,,,,,,,,,,,,
5619,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
5619,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
159766,"Other likely barriers to adherence have been identified and there is a plan in place to address them (e.g. frequent travel for work, plan to deal with unexpected travel, distance from clinic, etc)",159766,159766,6294,159766,,,,,,,,,,,,,,,,,,,,
159766,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
159766,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
163089,Patient/caregiver has provided accurate locator information and contact details?,163089,163089,10836,163089,,,,,,,,,,,,,,,,,,,,
163089,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
163089,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
162695,Patient/caregiver feels ready to start ART today,162695,162695,10837,162695,,,,,,,,,,,,,,,,,,,,
162695,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
162695,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
,Support Systems Criteria (applies to patients and caregivers),,,,,,,,,,,,,,,,,,,,,,,,
160119,"Has identified convenient time/s of day for taking ART, and/or associated dose/s with daily event/s",160119,160119,1192,1192,,,,,,,,,,,,,,,,,,,,
160119,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
160119,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
164886,"Treatment supporter has been identified and engaged in HIV education, or will attend next counselling session?",164886,164886,10838,164886,,,,,,,,,,,,,,,,,,,,
164886,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
164886,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
163766,Is aware of support group meeting time/s,163766,163766,10087,163766,,,,,,,,,,,,,,,,,,,,
163766,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
163766,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
163164, If facility has SMS reminder system: Has enrolled into SMS reminder system,163164,163164,10839,163164,,,,,,,,,,,,,,,,,,,,
163164,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
163164,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
164360,"Other support systems are in place or planned (e.g. setting phone alarm, pill box)",164360,164360,10840,164360,,,,,,,,,,,,,,,,,,,,
164360,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
164360,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
