Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
160430,Reason for visit,160430,160430,10727,160430,,,,,,,,,,,,,,,,,,,,
,Vital Signs,,,,,,,,,,,,,,,,,,,,,,,,
5088,Temp,5088,5088,5088,5088,,,,,,,,,,,,,,,,,,,,
5087,Pulse Rate,5087,5087,5087,5087,,,,,,,,,,,,,,,,,,,,
5085,BP:  Systolic,5085,5085,5085,5085,,,,,,,,,,,,,,,,,,,,
5086,BP:  Diastolic,5086,5086,5086,5086,,,,,,,,,,,,,,,,,,,,
5242,Respiratory Rate,5242,5242,5242,5242,,,,,,,,,,,,,,,,,,,,
5092,Oxygen Saturation,5092,5092,5092,5092,,,,,,,,,,,,,,,,,,,,
,Other Recordings,,,,,,,,,,,,,,,,,,,,,,,,
5089,Weight,5089,5089,5089,5089,,,,,,,,,,,,,,,,,,,,
5090,Height,5090,5090,5090,5090,,,,,,,,,,,,,,,,,,,,
Calculated,BMI,,,,,,,,,,,,,,,,,,,,,,,,
1343,MUAC,1343,1343,1343,1343,,,,,,,,,,,,,,,,,,,,
1427,LMP,1427,1427,1836,1427,,,,,,,,,,,,,,,,,,,,
,Pregnancy Details,,,,,,,,,,,,,,,,,,,,,,,,
5272,Is Patient Pregnant?,5272,5272,5272,5272,,,,,,,,,,,,,,,,,,,,
5272,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
5272,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
1425,ANC Number,1425,1425,7086,1425,,,,,,,,,,,,,,,,,,,,
5596,EDD,5596,5596,5596,5596,,,,,,,,,,,,,,,,,,,,
5624,Gravida,5624,5624,5624,5624,,,,,,,,,,,,,,,,,,,,
1053,Parity,1053,1053,1053,1053,,,,,,,,,,,,,,,,,,,,
,Family Planning Status,,,,,,,,,,,,,,,,,,,,,,,,
160653,Family planning status,160653,160653,8355,160653,,,,,,,,,,,,,,,,,,,,
160653,On Family Planning,965,965,965,965,,,,,,,,,,,,,,,,,,,,
160653,Not using Family Planning,160652,160652,10709,160652,,,,,,,,,,,,,,,,,,,,
160653,Wants Family Planning,1360,1360,8356,1360,,,,,,,,,,,,,,,,,,,,
374,"If currently using Family Planning, or wants Family Planning, specify which method(s)",374,374,374,374,,,,,,,,,,,,,,,,,,,,
374,Emergency contraceptive pills,160570,160570,6725,160570,,,,,,,,,,,,,,,,,,,,
374,Oral Contraceptives Pills,780,780,780,780,,,,,,,,,,,,,,,,,,,,
374,Injectible,5279,5279,5279,5279,,,,,,,,,,,,,,,,,,,,
374,Implant,1359,1359,10817,1359,,,,,,,,,,,,,,,,,,,,
374,Intrauterine Device,5275,5275,5275,5275,,,,,,,,,,,,,,,,,,,,
374,Lactational Amenorhea Method,136163,136163,8300,136163,,,,,,,,,,,,,,,,,,,,
374,Diaphram/Cervical Cap,5278,5278,5278,5278,,,,,,,,,,,,,,,,,,,,
374,Fertility Awareness,5277,5277,5277,5277,,,,,,,,,,,,,,,,,,,,
374,Tubal Ligation,1472,1472,6700,1472,,,,,,,,,,,,,,,,,,,,
374,Condoms,190,190,190,190,,,,,,,,,,,,,,,,,,,,
374,Vasectomy(Partner),1489,1489,6701,1489,,,,,,,,,,,,,,,,,,,,
160575,Not using Family Planning? Specify reason(s),160575,160575,6687,160575,,,,,,,,,,,,,,,,,,,,
160575,Thinks can't get pregnant,160572,160572,8299,160572,,,,,,,,,,,,,,,,,,,,
160575,Not sexually active now,160573,160573,7062,160573,,,,,,,,,,,,,,,,,,,,
160575,Other ,5622,5622,5622,5622,,,,,,,,,,,,,,,,,,,,
