Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
1639,Session number,1639,1639,10994,1639,,,,,,,,,,,,,,,,,,,,
164891,Date of first session,164891,164891,10999,164891,,,,,,,,,,,,,,,,,,,,
162846,Pill count adherence % (from pill count),162846,162846,11000,162846,,,,,,,,,,,,,,,,,,,,
,MMAS-4,,,,,"MMAS questions in KenyaEMR have beed designed differently in the form as compared to AMRS.  For AMRS concept ids were created for all the MMAS questions but for Kenya EMR, they seem to use control questions and the anly question that is stored in the database is the final rating, wether Good, inadequate or poor. ",,,,,,,,,,,,,,,,,,,
,Do you ever forget to take your medicine?,,,10102,,,,,,,,,,,,,,,,,,,,,
,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
,Are you careless at times about taking your medicine?,,,10103,,,,,,,,,,,,,,,,,,,,,
,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
,"Sometimes if you feel worse when you take the medicine, do you stop taking it",,,10104,,,,,,,,,,,,,,,,,,,,,
,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
,When you feel better do you sometimes stop taking your medicine,,,10105,,,,,,,,,,,,,,,,,,,,,
,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
,MMAS - 8,,,,,"MMAS questions in KenyaEMR have beed designed differently in the form as compared to AMRS.  For AMRS concept ids were created for all the MMAS questions but for Kenya EMR, they seem to use control questions and the anly question that is stored in the database is the final rating, wether Good, inadequate or poor. ",,,,,,,,,,,,,,,,,,,
,Did you take the medicine yesterday,,,10106,,,,,,,,,,,,,,,,,,,,,
,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
