Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
160658,"Within the past year, have you been hit, slapped, kicked or physically hurt by someone in any way?",160658,160658,11082,160658,,,,,,,,,,,,,,,,,,,,
160658,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
160658,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
160658,Are you in a relationship with a person who physically hit you?,160658,,,,,,,,,,,,,,,,,,,,,,,
160658,Yes,158358,,,,,,,,,,,,,,,,,,,,,,,
160658,No,1066,,,,,,,,,,,,,,,,,,,,,,,
160658,"Are you in a relationship with a person who threatens, frightens or insults you or treats you badly?",160658,,,,,,,,,,,,,,,,,,,,,,,
160658,Yes,118688,,,,,,,,,,,,,,,,,,,,,,,
160658,No,1066,,,,,,,,,,,,,,,,,,,,,,,
160658, Are you in relationship with a person who forces you to participate in sexual activities that make you feel uncomfortable?,160658,,,,,,,,,,,,,,,,,,,,,,,
160658,Yes,152370,,,,,,,,,,,,,,,,,,,,,,,
160658,No,1066,,,,,,,,,,,,,,,,,,,,,,,
160658,Have you ever experienced any of the above with someone you do not have a relationship with?,160658,,,,,,,,,,,,,,,,,,,,,,,
160658,Yes,1582,,,,,,,,,,,,,,,,,,,,,,,
160658,No,1066,,,,,,,,,,,,,,,,,,,,,,,
