Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
164073,IPT Due Date,164073,164073,10783,164073,,,,,,,,,,,,,,,,,,,,
164074,Date collected IPT,164074,164074,10784,164074,,,,,,,,,,,,,,,,,,,,
5089,Weight,5089,5089,5089,5089,,,,,,,,,,,,,,,,,,,,
159098,"Hepatotoxity? (Vomiting, persistent irritability, sbdominal pain, RUQ pain, yellow urine or eyes)",159098,159098,10785,159098,,,,,,,,,,,,,,,,,,,,
159098,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
159098,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
118983,"Peripheral Neuropathy (Does client have any of the following in the limbs? Numbness, tingling or burning sensation)",118983,118983,10786,118983,,,,,,,,,,,,,,,,,,,,
118983,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
118983,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
512,Does the patient have Rash?,512,512,10787,512,,,,,,,,,,,,,,,,,,,,
512,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
512,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
164075,Adherence Measurement &lt;/br&gt;Good= missed &lt;3 doses/month Fair=missed 4-8 doses/month Bad= missed 9 doses/month,164075,164075,10788,164075,,,,,,,,,,,,,,,,,,,,
164075,Good,159405,159405,6343,159405,,,,,,,,,,,,,,,,,,,,
164075,Fair,159406,159406,6655,159406,,,,,,,,,,,,,,,,,,,,
164075,Poor,159407,159407,6656,159407,,,,,,,,,,,,,,,,,,,,
