concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,
1271,Common Laboratory Investigations,1271,1271,1271,1271
1271,CD4 Count,5497,5497,5497,5497
1271,CD4%,730,730,730,730
1271,VDRL,299,299,299,299
1271,ALT,654,654,654,654
1271,Creatinine,790,790,790,790
1271,HIV Viral Load,856,856,856,856
856,Viral load results ,856,856,856,856
1305,HIV Viral Load(LDL),1305,1305,1305,1305
1305,LDL,1302,1302,1302,1302
1271,HIV DNA PCR,1030,1030,1030,1030
1271,Hemoglobin,21,21,21,21
1271,Urinalysis,302,302,11676,302
1271,Malaria Smear,32,32,32,32
162202,Gene Xpert,162202,162202,10761,162202
162202,"MTB detected,Rif resistance not detected",162204,162204,10763,162204
162202,"MTB detected, Rif resistance detected",162203,162203,10762,162203
162202,"MTB detected, Rif resistance intermediate",164104,164104,10764,164104
162202,MTB not detected,664,664,664,664
162202,Invalid/No result/Error,163611,163611,10766,163611
