Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
1246,Visit scheduled,1246,1246,1246,1246,,,,,,,,,,,,,,,,,,,,
1246,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
1246,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
161643,Person present,161643,161643,1412,161643,,,,,,,,,,,,,,,,,,,,
161643,Self (SF),978,978,978,978,,,,,,,,,,,,,,,,,,,,
161643,Treatment supporter (TS),161642,161642,9025,161642,,,,,,,,,,,,,,,,,,,,
161643,Other (give name),5622,5622,5622,5622,,,,,,,,,,,,,,,,,,,,
160638,Person present name,160638,160638,10653,160638,,,,,,,,,,,,,,,,,,,,
5085,Blood Pressure: Systolic,5085,5085,5085,5085,,,,,,,,,,,,,,,,,,,,
5086,Blood Pressure: Diastolic,5086,5086,5086,5086,,,,,,,,,,,,,,,,,,,,
5089,Weight ,5089,5089,5089,5089,,,,,,,,,,,,,,,,,,,,
5090,Height ,5090,5090,5090,5090,,,,,,,,,,,,,,,,,,,,
1343,BMI/MUAC,1343,1343,1343,1343,,,,,,,,,,,,,,,,,,,,
5356,WHO Stage,5356,5356,5356,5356,,,,,,,,,,,,,,,,,,,,
160557,Patient has any known allergie(s),160557,160557,10681,160557,,,,,,,,,,,,,,,,,,,,
160557,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
160557,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
160643,Allergen,160643,160643,6793,160643,,,,,,,,,,,,,,,,,,,,
160643,Beef,162543,162543,10682,162543,,,,,,,,,,,,,,,,,,,,
160643,Caffeine,72609,72609,10683,72609,,,,,,,,,,,,,,,,,,,,
160643,Chocolate,162544,162544,10684,162544,,,,,,,,,,,,,,,,,,,,
160643,Dairy Food,162545,162545,1764,162545,,,,,,,,,,,,,,,,,,,,
