Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
5624,Pregnancy order,5624,5624,5624,5624,,,,,,,,,,,,,,,,,,,,
160602,Year,160602,160602,10876,160602,,,,,,,,,,,,,,,,,,,,
1425,Number of Times ANC Attended,1425,1425,7086,1425,,,,,,,,,,,,,,,,,,,,
1572,Place of delivery,1572,1572,6441,1572,,,,,,,,,,,,,,,,,,,,
1572,Hospital,1589,1589,6181,1589,,,,,,,,,,,,,,,,,,,,
1572,Provincial hospital,159671,159671,6438,159671,,,,,,,,,,,,,,,,,,,,
1572,District hospital,159662,159662,6437,159662,,,,,,,,,,,,,,,,,,,,
1572,Sub-district hospital,159670,159670,6439,159670,,,,,,,,,,,,,,,,,,,,
1572,Health clinic,1588,1588,10886,1588,,,,,,,,,,,,,,,,,,,,
1572,Primary care clinic,159372,159372,2368,159372,,,,,,,,,,,,,,,,,,,,
1572,Enroute to H. Facility,1601,1601,6435,1601,,,,,,,,,,,,,,,,,,,,
1572,Home,1536,1536,1567,1536,,,,,,,,,,,,,,,,,,,,
1572,Unknown ,1067,1067,1067,1067,,,,,,,,,,,,,,,,,,,,
1572,Other,5622,5622,5622,5622,,,,,,,,,,,,,,,,,,,,
1409,Maturity (Weeks),1409,1409,6429,1409,,,,,,,,,,,,,,,,,,,,
159616,Duration of Labor (Hours),159616,159616,6225,159616,,,,,,,,,,,,,,,,,,,,
5630,Type of Delivery,5630,5630,5630,5630,,,,,,,,,,,,,,,,,,,,
5630,Vaginal delivery,1170,1170,1170,1170,,,,,,,,,,,,,,,,,,,,
5630,Cesarean,1171,1171,1171,1171,,,,,,,,,,,,,,,,,,,,
5630,Breech,1172,1172,1172,1172,,,,,,,,,,,,,,,,,,,,
5630,Forceps or vacuum,118159,118159,2166,118159,,,,,,,,,,,,,,,,,,,,
5630,Emergency cesarean,159739,159739,6442,159739,,,,,,,,,,,,,,,,,,,,
5630,Unknown ,1067,1067,1067,1067,,,,,,,,,,,,,,,,,,,,
5630,Other,5622,5622,5622,5622,,,,,,,,,,,,,,,,,,,,
5916,Birth Weight (Kg),5916,5916,5916,5916,,,,,,,,,,,,,,,,,,,,
1587,Sex,1587,1587,6228,1587,,,,,,,,,,,,,,,,,,,,
5916,Male ,1534,1534,6226,1534,,,,,,,,,,,,,,,,,,,,
5916,Female,1535,1535,6227,1535,,,,,,,,,,,,,,,,,,,,
5916,Other,5622,5622,5622,5622,,,,,,,,,,,,,,,,,,,,
5916,Unknown ,1067,1067,1067,1067,,,,,,,,,,,,,,,,,,,,
159917,Outcome,159917,159917,6224,159917,,,,,,,,,,,,,,,,,,,,
159917,Live Birth,159035,151849,1843,151849,Kenya EMR using a retired concept. ,,,,,,,,,,,,,,,,,,,
159917,Still Birth,159916,159916,10877,159916,,,,,,,,,,,,,,,,,,,,
159917,Abortion,126127,126127,10878,126127,,,,,,,,,,,,,,,,,,,,
159917,Miscarriage,48,48,48,48,,,,,,,,,,,,,,,,,,,,
1576,Event's During Puerperium,1576,1576,6653,1576,,,,,,,,,,,,,,,,,,,,
1576,None,1107,1107,1107,1107,,,,,,,,,,,,,,,,,,,,
1576,Maternal death,134612,134612,7257,134612,,,,,,,,,,,,,,,,,,,,
1576,Retained placenta,127592,127592,10879,127592,,,,,,,,,,,,,,,,,,,,
1576,Cardiac arrest,146192,146192,10880,146192,,,,,,,,,,,,,,,,,,,,
1576,Neonatal death,154223,154223,10881,154223,,,,,,,,,,,,,,,,,,,,
1576,Seizure,206,206,206,206,,,,,,,,,,,,,,,,,,,,
1576,Fever,140238,140238,5945,140238,,,,,,,,,,,,,,,,,,,,
1576,Obstetrical uterus rupture,113195,113195,6458,113195,,,,,,,,,,,,,,,,,,,,
1576,Vagina discharge,123396,123396,5993,123396,,,,,,,,,,,,,,,,,,,,
1576,Foot drop,139981,139981,10882,139981,,,,,,,,,,,,,,,,,,,,
1576,Postpartum hemorrhage,230,230,230,230,,,,,,,,,,,,,,,,,,,,
1576,Vesical-vaginal fistula,49,49,10474,49,,,,,,,,,,,,,,,,,,,,
1576,Infection specific to perinatal period,117069,117069,10883,117069,,,,,,,,,,,,,,,,,,,,
1576,Postpartum psychosis,129318,129318,10884,129318,,,,,,,,,,,,,,,,,,,,
1576,Loss of consciousness,135592,135592,10885,135592,,,,,,,,,,,,,,,,,,,,
1576,Puerperal sepsis,130,130,130,130,,,,,,,,,,,,,,,,,,,,
1576,Other (non-coded),5622,5622,5622,5622,,,,,,,,,,,,,,,,,,,,
