Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
1442,Medication order,1442,1442,1901,1442,,,,,,,,,,,,,,,,,,,,
1282,Drug prescribed,1282,1282,1895,1282,,,,,,,,,,,,,,,,,,,,
1443,Dose prescribed,1443,1443,10888,1443,,,,,,,,,,,,,,,,,,,,
1444,Dispensed units,1444,1444,10889,1444,,,,,,,,,,,,,,,,,,,,
160855,Frequency prescribed,160855,160855,1896,160855,,,,,,,,,,,,,,,,,,,,
160855,Once daily,160862,160862,1891,160862,,,,,,,,,,,,,,,,,,,,
160855,Once daily at bedtime,160863,160863,10890,160863,,,,,,,,,,,,,,,,,,,,
160855,Once daily in the evening,160864,160864,10891,160864,,,,,,,,,,,,,,,,,,,,
160855,Once daily in the morning,160865,160865,10892,160865,,,,,,,,,,,,,,,,,,,,
160855,Twice daily,160858,160858,1888,160858,,,,,,,,,,,,,,,,,,,,
160855,Thrice daily,160866,160866,1889,160866,,,,,,,,,,,,,,,,,,,,
160855,Four times daily,160870,160870,1890,160870,,,,,,,,,,,,,,,,,,,,
159368,Duration,159368,159368,10893,159368,,,,,,,,,,,,,,,,,,,,
1732,Duration Units,1732,1732,10604,1732,,,,,,,,,,,,,,,,,,,,
1732,Hours ,1822,1822,1822,1822,,,,,,,,,,,,,,,,,,,,
1732,Days ,1072,1072,1072,1072,,,,,,,,,,,,,,,,,,,,
1732,Weeks ,1073,1073,1073,1073,,,,,,,,,,,,,,,,,,,,
1732,Months,1074,1074,1074,1074,,,,,,,,,,,,,,,,,,,,
5484,Nutritional Support,5484,5484,5484,5484,,,,,,,,,,,,,,,,,,,,
5484,Therapeutic feeds,161650,161650,8301,161650,,,,,,,,,,,,,,,,,,,,
5484,Vitamin A,103659,103659,7309,103659,,,,,,,,,,,,,,,,,,,,
5484,Pyridoxine,82913,82913,10894,82913,,,,,,,,,,,,,,,,,,,,
5484,Supplementary foods,161542,161542,10895,161542,,,,,,,,,,,,,,,,,,,,
