Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
159786,Treatment outcome,159786,159786,6206,159786,,,,,,,,,,,,,,,,,,,,
159786,Cured(Smear. Negative),159791,159791,6202,159791,,,,,,,,,,,,,,,,,,,,
159786,Treatment Completed(no smear result),160035,160035,10756,160035,,,,,,,,,,,,,,,,,,,,
159786,Failure(Smear. Positive),159874,159874,2236,159874,,,,,,,,,,,,,,,,,,,,
159786,Dead,160034,160034,1593,160034,,,,,,,,,,,,,,,,,,,,
159786,Defaulted,160031,160031,1595,160031,,,,,,,,,,,,,,,,,,,,
159786,Lost to follow up,5240,5240,5240,5240,,,,,,,,,,,,,,,,,,,,
159786,Not evaluated,160737,160737,6621,160737,,,,,,,,,,,,,,,,,,,,
159786,Moved to category 4 classification,159976,159976,10760,159976,,,,,,,,,,,,,,,,,,,,
159786,Transferred out,159492,159492,1594,159492,,,,,,,,,,,,,,,,,,,,
159787,Treatment outcome date,159787,159787,6207,159787,,,,,,,,,,,,,,,,,,,,
159495,Transferred out to,159495,159495,10650,159495,,,,,,,,,,,,,,,,,,,,
160632,Notes,160632,160632,1915,160632,,,,,,,,,,,,,,,,,,,,
