concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,Notes
1113,Date start of treatment,1113,1113,1113,1113,,,,,,,,,,,,,,,,,,,,
161564,District,161564,161564,9054,161564,,,,,,,,,,,,,,,,,,,,
,District Reg Number,Identifier type,,,,,,,,,,,,,,,,,,,,,,,
161561,Date referred,161561,161561,10737,161561,,,,,,,,,,,,,,,,,,,,
160540,Referred by,160540,160540,6749,160540,,,,,,,,,,,,,,,,,,,,
160540,VCT center,160539,160539,10740,160539,,,,,,,,,,,,,,,,,,,,
160540,HIV care clinic,160631,160631,10739,160631,,,,,,,,,,,,,,,,,,,,
160540,STI Clinic,160546,160546,1964,160546,,,,,,,,,,,,,,,,,,,,
160540,Home Based Care,161359,161359,2241,161359,,,,,,,,,,,,,,,,,,,,
160540,Antenatal/PMTCT Clinic,160538,160538,1776,160538,,,,,,,,,,,,,,,,,,,,
160540,Private Sector,1725,1725,2242,1725,,,,,,,,,,,,,,,,,,,,
160540,Chemist/pharmacist,1744,1744,1861,1744,,,,,,,,,,,,,,,,,,,,
160540,Self referral,160551,160551,10648,160551,,,,,,,,,,,,,,,,,,,,
160540,Community Health worker(CHW),1555,1555,1862,1555,,,,,,,,,,,,,,,,,,,,
160540,CCC,162050,162050,2240,162050,,,,,,,,,,,,,,,,,,,,
160540,Diabetes Clinic,164103,164103,10738,164103,,,,,,,,,,,,,,,,,,,,
5089,Body weight in Kgs,5089,5089,5089,5089,,,,,,,,,,,,,,,,,,,,
5090,Height in centimeters,5090,5090,5090,5090,,,,,,,,,,,,,,,,,,,,
160638,Treatment supporters Name,160638,160638,10653,160638,,,,,,,,,,,,,,,,,,,,
160640,Relation to patient,160640,160640,10741,160640,,,,,,,,,,,,,,,,,,,,
160641,Address,160641,160641,10872,160641,,,,,,,,,,,,,,,,,,,,
160642,Cellphone,160642,160642,10873,160642,,,,,,,,,,,,,,,,,,,,
160040,Disease classification,160040,160040,2225,160040,,,,,,,,,,,,,,,,,,,,
160040,Pulmonary TB,42,42,42,42,,,,,,,,,,,,,,,,,,,,
160040,Extra-Pulmonary TB,5042,5042,2224,5042,,,,,,,,,,,,,,,,,,,,
159982,Pulmonary options,159982,159982,10742,159982,,,,,,,,,,,,,,,,,,,,
159982,Smear positive,703,703,703,703,,,,,,,,,,,,,,,,,,,,
159982,Smear negative,664,664,664,664,,,,,,,,,,,,,,,,,,,,
159982,Smear not done,1118,1118,1118,1118,,,,,,,,,,,,,,,,,,,,
161357,"Extrapulmonary options, detailed",161357,161357,10743,161357,,,,,,,,,,,,,,,,,,,,
161356,Extrapulmonary options,161356,161356,9043,161356,,,,,,,,,,,,,,,,,,,,
161356,Pleural effusion,130059,130059,10744,130059,,,,,,,,,,,,,,,,,,,,
161356,Milliary,115753,115753,1460,115753,,,,,,,,,,,,,,,,,,,,
161356,Lymph nodes,111953,111953,2213,111953,,,,,,,,,,,,,,,,,,,,
161356,Meningitis,111967,111967,8348,111967,,,,,,,,,,,,,,,,,,,,
161356,Skeleton,112116,112116,8284,112116,,,,,,,,,,,,,,,,,,,,
161356,Abdominal,1350,1350,1350,1350,,,,,,,,,,,,,,,,,,,,
1915,Freetext general,1915,1915,1915,1915,,,,,,,,,,,,,,,,,,,,
159871,Type of previous TB treatment ,159871,159871,2239,159871,,,,,,,,,,,,,,,,,,,,
159871,New,159878,159878,2232,159878,,,,,,,,,,,,,,,,,,,,
159871,Smear positive Relapse,159877,159877,2233,159877,,,,,,,,,,,,,,,,,,,,
159871,Smear negative Relapse,159876,159876,2234,159876,,,,,,,,,,,,,,,,,,,,
159871,Treatment after Failure,159874,159874,2236,159874,,,,,,,,,,,,,,,,,,,,
159871,Treatment resumed after defaulting,159873,159873,2237,159873,,,,,,,,,,,,,,,,,,,,
159871,Transfer in,159872,159872,2238,159872,,,,,,,,,,,,,,,,,,,,
159871,Previous treatment history unknown,163609,163609,10746,163609,,,,,,,,,,,,,,,,,,,,
160534,Date transferred In,160534,160534,10747,160534,,,,,,,,,,,,,,,,,,,,
160535,Transferred from,160535,160535,10748,160535,,,,,,,,,,,,,,,,,,,,
161551,District,161551,161551,7060,161551,,,,,,,,,,,,,,,,,,,,
161552,Date first enrolled in TB care,161552,161552,10749,161552,,,,,,,,,,,,,,,,,,,,
