Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
159960,Sputum Results,159960,159960,10750,159960,,,,,,,,,,,,,,,,,,,,
159961,Test type,159961,159961,9044,159961,,,,,,,,,,,,,,,,,,,,
159961,ZN Smear Microscopy,160022,160022,9045,160022,,,,,,,,,,,,,,,,,,,,
159961,Fluorescence Microscopy,161880,161880,9046,161880,,,,,,,,,,,,,,,,,,,,
307,Sputum results,307,307,307,307,,,,,,,,,,,,,,,,,,,,
307,Scanty,159985,159985,9047,159985,,,,,,,,,,,,,,,,,,,,
307,one plus (+),1362,1362,2301,1362,,,,,,,,,,,,,,,,,,,,
307,Two plus (++),1363,1363,2302,1363,,,,,,,,,,,,,,,,,,,,
307,Three plus (+++),1364,1364,2303,1364,,,,,,,,,,,,,,,,,,,,
307,Negative,664,664,664,664,,,,,,,,,,,,,,,,,,,,
159968,Serial number,159968,159968,10751,159968,,,,,,,,,,,,,,,,,,,,
160023,Quantity,160023,160023,9048,160023,,,,,,,,,,,,,,,,,,,,
159964,Date done,159964,159964,10752,159964,,,,,,,,,,,,,,,,,,,,
159981,Culture/Sensitivity results,159981,159981,10753,159981,,,,,,,,,,,,,,,,,,,,
159982,Bacterial Colonies growth,159982,159982,10742,159982,,,,,,,,,,,,,,,,,,,,
159982,Growth ,703,703,703,703,,,,,,,,,,,,,,,,,,,,
159982,No growth,664,664,664,664,,,,,,,,,,,,,,,,,,,,
159952,Number of Colonies,159952,159952,9049,159952,,,,,,,,,,,,,,,,,,,,
159956,Resistant (R),159956,159956,10754,159956,,,,,,,,,,,,,,,,,,,,
159956,S,84360,84360,438,84360,,,,,,,,,,,,,,,,,,,,
159956,R,767,767,767,767,,,,,,,,,,,,,,,,,,,,
159956,INH,78280,78280,656,78280,,,,,,,,,,,,,,,,,,,,
159956,E,75948,75948,745,75948,,,,,,,,,,,,,,,,,,,,
159958,Sensitive (S),159958,159958,10755,159958,,,,,,,,,,,,,,,,,,,,
159958,S,84360,84360,438,84360,,,,,,,,,,,,,,,,,,,,
159958,R,767,767,767,767,,,,,,,,,,,,,,,,,,,,
159958,INH,78280,78280,656,78280,,,,,,,,,,,,,,,,,,,,
159958,E,75948,75948,745,75948,,,,,,,,,,,,,,,,,,,,
159964,Date done,159964,159964,10752,159964,,,,,,,,,,,,,,,,,,,,
1380,Nutritional counselling (NC) done,1380,1380,6851,1380,,,,,,,,,,,,,,,,,,,,
1380,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
1380,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
1169,HIV status,1169,1169,6709,1169,,,,,,,,,,,,,,,,,,,,
5096,Return visit date ,5096,5096,5096,5096,,,,,,,,,,,,,,,,,,,,
