Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
1169,HIV Status,1169,1169,6709,1169,,,,,,,,,,,,,,,,,,,,
1169,Positive,703,703,703,703,,,,,,,,,,,,,,,,,,,,
1169,Negative,664,664,664,664,,,,,,,,,,,,,,,,,,,,
1169,Not done,1118,1118,1118,1118,,,,,,,,,,,,,,,,,,,,
1169,Declined,162570,162570,10768,162570,,,,,,,,,,,,,,,,,,,,
164082,Reason for smear examination,164082,164082,10769,164082,,,,,,,,,,,,,,,,,,,,
164082,New IPT Patient,164081,164081,10770,164081,,,,,,,,,,,,,,,,,,,,
164082,IPT followup at 2 months,164078,164078,10771,164078,,,,,,,,,,,,,,,,,,,,
164082,IPT followup at 4 months,164079,164079,10772,164079,,,,,,,,,,,,,,,,,,,,
164082,IPT followup at 6 months,164080,164080,10773,164080,,,,,,,,,,,,,,,,,,,,
164082,Other,5622,5622,5622,5622,,,,,,,,,,,,,,,,,,,,
,Reason for Xpert MTB/RIF testing,,,,,,,,,,,,,,,,,,,,,,,,
162276,TB Diagnosis,162276,162276,10679,162276,,,,,,,,,,,,,,,,,,,,
162276,HIV positive with symptoms of TB,138571,138571,1169,138571,,,,,,,,,,,,,,,,,,,,
162276,Childless <15 yrs with TB symptoms,164095,164095,10774,164095,,,,,,,,,,,,,,,,,,,,
162276,All smear negative PTB cases (who are clinically and x-ray suggestive),164096,164096,2285,164096,,,,,,,,,,,,,,,,,,,,
,DR TB surveillance,,,,,,,,,,,,,,,,,,,,,,,,
162276,Failure first line treatment (Failure CAT 1),160032,160032,10775,160032,,,,,,,,,,,,,,,,,,,,
162276,Return after loss to follow up,164097,164097,10776,164097,,,,,,,,,,,,,,,,,,,,
162276,Failure re-treatment (Failure CAT 2),160030,160030,10777,160030,,,,,,,,,,,,,,,,,,,,
162276,Relapse,160033,160033,7931,160033,,,,,,,,,,,,,,,,,,,,
162276,DR TB contacts,164098,164098,10778,164098,,,,,,,,,,,,,,,,,,,,
162276,Healthcare workers with TB symptoms,5619,5619,5619,5619,,,,,,,,,,,,,,,,,,,,
162276,Patients who develop TB on IPT,164099,164099,10779,164099,,,,,,,,,,,,,,,,,,,,
162276,Refugees with symptoms of TB,164100,164100,10780,164100,,,,,,,,,,,,,,,,,,,,
162276,Smear positive at 2 months,164101,164101,10781,164101,,,,,,,,,,,,,,,,,,,,
162276,Prisoners with TB symptoms,162277,162277,8602,162277,,,,,,,,,,,,,,,,,,,,
164092,Type of sample,164092,164092,10782,164092,,,,,,,,,,,,,,,,,,,,
164092,Pulmonary,42,42,42,42,,,,,,,,,,,,,,,,,,,,
164092,Extra-Pulmonary,5042,5042,5042,5042,,,,,,,,,,,,,,,,,,,,
